syscall,median_value,mean_value,std_value,var_value,min_value,max_value,coefficient_of_variation
sched_setscheduler,1e-06,1e-06,,,1e-06,1e-06,
sched_yield,0.0003495019223086393,0.00040523165005163197,0.0001527841870125821,2.3343007801095655e-08,0.00027151376152169485,0.0006837836477418712,0.37702925473149823
seccomp,0.0009502926946271929,0.0009502926946271929,0.0013425026034034773,1.8023132401451142e-06,1e-06,0.001899585389254386,1.4127253750279027
select,0.0007624222060381356,0.0009390032119986687,0.0007543129420612881,5.689880145611562e-07,1e-06,0.0026908442659198113,0.8033124194066734
semtimedop,1e-06,0.00021696617838541662,0.00048291505571063743,2.3320695103200804e-07,1e-06,0.0010808308919270833,2.2257619104706348
sendmmsg,1e-06,0.005472355396412037,0.011179635270117583,0.00012498424477285703,1e-06,0.03375244140625,2.0429293165877964
sendmsg,0.0005380191440980927,0.00439374196077384,0.012487045676569972,0.00015592630972874485,0.00011413794562274368,0.039927170718574746,2.8420070609632964
sendto,0.0003706266738698828,0.00112449476932569,0.0018300897558062843,3.3492285143071057e-06,0.00021717602894360706,0.006032684594371308,1.6274773398045317
set_robust_list,0.000581359731524156,0.0004933576266629678,0.00022833613190733457,5.2137389134403695e-08,1e-06,0.0007206843449519231,0.46282071983316087
set_tid_address,1e-06,0.0002971005596032303,0.0004192745331318239,1.7579113413290892e-07,1e-06,0.0011644684866573033,1.411220947182845
setgid,0.0010027204241071428,0.0009885215773809523,0.0009804992633986422,9.613788055252802e-07,1e-06,0.0019618443080357145,0.9918845332607055
setgroups,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
setitimer,0.00010961473688089622,0.000319411910852003,0.0004038828766173502,1.6312137802470574e-07,1e-06,0.00104827880859375,1.2644577828673589
setns,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
setpriority,1e-06,0.0007323046223958334,0.002312588270180216,5.3480645073751236e-06,1e-06,0.007314046223958333,3.1579594057651463
setsid,0.007497151692708333,0.005446025607638888,0.00476308597728367,2.2686988026996335e-05,1e-06,0.008839925130208334,0.8745985275211908
setsockopt,0.00023677048173922937,0.00026708626998619815,0.00019134630862833974,3.661340982569184e-08,1e-06,0.0005640587439903846,0.7164213594290253
setuid,0.000866117931547619,0.0010306648995535713,0.0011210324470488408,1.2567137473363119e-06,1e-06,0.002224876767113095,1.0876788833445399
shutdown,1e-06,0.0002798977297055438,0.0006697981668327349,4.486295842924922e-07,1e-06,0.002076043023003472,2.3930103596673384
sigaltstack,1e-06,0.0006050980281848085,0.001104662268488595,1.2202787274223688e-06,1e-06,0.0031224300986842104,1.8255922462718883
socket,0.0004423313270620748,0.00047950351935011125,0.0002927750257414409,8.571721569790136e-08,1e-06,0.0008389657003837719,0.6105795138651946
socketpair,1e-06,0.0004477629569811699,0.000734967904371111,5.401778204556626e-07,1e-06,0.00177001953125,1.6414218570608983
stat,1e-06,9.014237545009772e-05,0.00018799661380051333,3.5342726800459356e-08,1e-06,0.0004574360827848551,2.0855520265780783
statfs,1e-06,0.00042436490668747737,0.0010413310710686839,1.0843703995730525e-06,1e-06,0.0033402876420454545,2.4538576462345647
statx,0.0009571743448289672,0.000853993831348045,0.0003572210929411718,1.276069092420853e-07,0.0001457857798381024,0.0013853130918560605,0.4182946993625138
sysinfo,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
syslog,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
tgkill,1e-06,0.0003767249371722028,0.0008985787096349747,8.074436974092563e-07,1e-06,0.0026949368990384615,2.3852381962817346
timerfd_create,1e-06,0.0005563199218750001,0.0017560757831917623,3.083802156312561e-06,1e-06,0.00555419921875,3.1565933811486553
timerfd_settime,0.00020419034090909092,0.00028299062128488714,0.00021221725218638243,4.503616212553863e-08,9.125058013613861e-05,0.0007222493489583334,0.7499091355848961
times,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
umask,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
uname,1e-06,0.000570937295968192,0.0010316198270214543,1.064239467503775e-06,1e-06,0.0027587890625,1.8068881369398713
unlink,1e-06,0.003154331183307927,0.005788385975053534,3.350541219619645e-05,1e-06,0.013336181640625,1.8350596810139925
unlinkat,0.005146026611328125,0.005146026611328125,0.0025265630787330608,6.383520990817082e-06,0.0033594767252604165,0.006932576497395833,0.4909735742856927
unshare,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
utimensat,1e-06,0.00946114921875,0.015428156814135483,0.00023802802268155517,1e-06,0.03753662109375,1.6306852854154477
vfork,0.001293606228298611,0.0013334113818073829,0.0014898915099836845,2.2197767115214638e-06,1e-06,0.004564073350694444,1.1173532267020245
wait4,0.000748759453936839,0.0006717096907802531,0.000536210117068615,2.875212896467378e-07,1e-06,0.0017846031526548673,0.7982765835129715
waitid,0.0017527176106770833,0.0017527176106770833,0.0024773028024673246,6.137029175112459e-06,1e-06,0.0035044352213541665,1.4134066933408231
write,0.0003400062228113303,0.0007096632396798545,0.0010069926993414577,1.0140342965269956e-06,0.0002486122338793429,0.003478628834097792,1.418972609875827
writev,0.0007123445209703948,0.0006996298732351992,0.00029781342533698993,8.869283631095088e-08,1e-06,0.0011259038397606383,0.42567282606137663
